Documento,Indice_Gulpease
<<<<<<< HEAD
<<<<<<< HEAD
Analisi dei requisiti,55.08
=======
Analisi dei requisiti,55.21
>>>>>>> a0fd3d3ef48e372f21d0ad976cd1e17a0eb14272
Piano di progetto,77.31
Piano di qualifica,62.61
Glossario,59.84
Norme di progetto,50.75
Verbali interni,75.8
Verbali esterni,68.3
=======
Analisi dei requisiti,55.17
Piano di progetto,77.29
Piano di qualifica,63.21
Glossario,59.51
Norme di progetto,51.15
Verbali interni,74.08
Verbali esterni,66.39
>>>>>>> 9957dcaf48e69ee500d4b4bb875e71b835496be2
